lag,correlation,p_value
-12,0.01413175585027573,0.7963398333225462
-11,-0.010844168732938681,0.8427801179369084
-10,-0.013547007946400902,0.804020321747917
-9,-0.0002003674942031615,0.997067357467468
-8,0.003134366422282874,0.9540814594992408
-7,-0.009314413299946056,0.8639298317669781
-6,0.014924958790987278,0.7833041902228283
-5,0.034566210312017516,0.5234548370081513
-4,0.003341366618260774,0.9507637370858402
-3,-0.0540858599729005,0.3164944588748482
-2,-0.045338296177386536,0.40050389992423757
-1,-0.046812072184597604,0.3846598274662592
0,-0.23904860477202441,6.51685584306787e-06
1,-0.30656309323292136,5.508819421966642e-09
2,-0.28952214490785805,4.162286411565792e-08
3,-0.2698785153905849,3.5934968404564233e-07
4,-0.2701318440524527,3.640775647867737e-07
5,-0.26936483454402266,4.096735624199352e-07
6,-0.2294959903505366,1.8197948839790824e-05
7,-0.20347416835576695,0.00015479591270011188
8,-0.1992295722241956,0.00021797861284433566
9,-0.18577851284443236,0.0005862738908116547
10,-0.18924132246380237,0.00046888539464649766
11,-0.17186528692114952,0.0015407279336008568
12,-0.1698814457003338,0.0017773273515357937
